C:\Deep-Learning\Finalproject\train\IMG\center_2019_03_25_10_00_18_859.jpg, C:\Deep-Learning\Finalproject\train\IMG\left_2019_03_25_10_00_18_859.jpg, C:\Deep-Learning\Finalproject\train\IMG\right_2019_03_25_10_00_18_859.jpg, 0, 0, 0, 7.92113E-05
C:\Deep-Learning\Finalproject\train\IMG\center_2019_03_25_10_00_18_961.jpg, C:\Deep-Learning\Finalproject\train\IMG\left_2019_03_25_10_00_18_961.jpg, C:\Deep-Learning\Finalproject\train\IMG\right_2019_03_25_10_00_18_961.jpg, 0, 0, 0, 7.852295E-05
C:\Deep-Learning\Finalproject\train\IMG\center_2019_03_25_10_00_19_066.jpg, C:\Deep-Learning\Finalproject\train\IMG\left_2019_03_25_10_00_19_066.jpg, C:\Deep-Learning\Finalproject\train\IMG\right_2019_03_25_10_00_19_066.jpg, 0, 0, 0, 7.823641E-05
C:\Deep-Learning\Finalproject\train\IMG\center_2019_03_25_10_00_19_170.jpg, C:\Deep-Learning\Finalproject\train\IMG\left_2019_03_25_10_00_19_170.jpg, C:\Deep-Learning\Finalproject\train\IMG\right_2019_03_25_10_00_19_170.jpg, 0, 0, 0, 7.777406E-05
C:\Deep-Learning\Finalproject\train\IMG\center_2019_03_25_10_00_19_270.jpg, C:\Deep-Learning\Finalproject\train\IMG\left_2019_03_25_10_00_19_270.jpg, C:\Deep-Learning\Finalproject\train\IMG\right_2019_03_25_10_00_19_270.jpg, 0, 0, 0, 7.852091E-05
C:\Deep-Learning\Finalproject\train\IMG\center_2019_03_25_10_00_19_372.jpg, C:\Deep-Learning\Finalproject\train\IMG\left_2019_03_25_10_00_19_372.jpg, C:\Deep-Learning\Finalproject\train\IMG\right_2019_03_25_10_00_19_372.jpg, 0, 0, 0, 7.970657E-05
C:\Deep-Learning\Finalproject\train\IMG\center_2019_03_25_10_00_19_472.jpg, C:\Deep-Learning\Finalproject\train\IMG\left_2019_03_25_10_00_19_472.jpg, C:\Deep-Learning\Finalproject\train\IMG\right_2019_03_25_10_00_19_472.jpg, 0, 0, 0, 7.824426E-05
C:\Deep-Learning\Finalproject\train\IMG\center_2019_03_25_10_00_19_574.jpg, C:\Deep-Learning\Finalproject\train\IMG\left_2019_03_25_10_00_19_574.jpg, C:\Deep-Learning\Finalproject\train\IMG\right_2019_03_25_10_00_19_574.jpg, 0, 0, 0, 7.956533E-05
C:\Deep-Learning\Finalproject\train\IMG\center_2019_03_25_10_00_19_676.jpg, C:\Deep-Learning\Finalproject\train\IMG\left_2019_03_25_10_00_19_676.jpg, C:\Deep-Learning\Finalproject\train\IMG\right_2019_03_25_10_00_19_676.jpg, 0, 0, 0, 7.83518E-05
C:\Deep-Learning\Finalproject\train\IMG\center_2019_03_25_10_00_19_777.jpg, C:\Deep-Learning\Finalproject\train\IMG\left_2019_03_25_10_00_19_777.jpg, C:\Deep-Learning\Finalproject\train\IMG\right_2019_03_25_10_00_19_777.jpg, 0, 0, 0, 8.261701E-05
C:\Deep-Learning\Finalproject\train\IMG\center_2019_03_25_10_00_19_881.jpg, C:\Deep-Learning\Finalproject\train\IMG\left_2019_03_25_10_00_19_881.jpg, C:\Deep-Learning\Finalproject\train\IMG\right_2019_03_25_10_00_19_881.jpg, 0, 0, 0, 7.916868E-05
C:\Deep-Learning\Finalproject\train\IMG\center_2019_03_25_10_00_19_986.jpg, C:\Deep-Learning\Finalproject\train\IMG\left_2019_03_25_10_00_19_986.jpg, C:\Deep-Learning\Finalproject\train\IMG\right_2019_03_25_10_00_19_986.jpg, 0, 0, 0, 7.903256E-05
C:\Deep-Learning\Finalproject\train\IMG\center_2019_03_25_10_00_20_087.jpg, C:\Deep-Learning\Finalproject\train\IMG\left_2019_03_25_10_00_20_087.jpg, C:\Deep-Learning\Finalproject\train\IMG\right_2019_03_25_10_00_20_087.jpg, 0, 0, 0, 7.8136E-05
C:\Deep-Learning\Finalproject\train\IMG\center_2019_03_25_10_00_20_191.jpg, C:\Deep-Learning\Finalproject\train\IMG\left_2019_03_25_10_00_20_191.jpg, C:\Deep-Learning\Finalproject\train\IMG\right_2019_03_25_10_00_20_191.jpg, 0, 0, 0, 7.937883E-05
C:\Deep-Learning\Finalproject\train\IMG\center_2019_03_25_10_00_20_294.jpg, C:\Deep-Learning\Finalproject\train\IMG\left_2019_03_25_10_00_20_294.jpg, C:\Deep-Learning\Finalproject\train\IMG\right_2019_03_25_10_00_20_294.jpg, 0, 0, 0, 7.797795E-05
C:\Deep-Learning\Finalproject\train\IMG\center_2019_03_25_10_00_20_399.jpg, C:\Deep-Learning\Finalproject\train\IMG\left_2019_03_25_10_00_20_399.jpg, C:\Deep-Learning\Finalproject\train\IMG\right_2019_03_25_10_00_20_399.jpg, 0, 0, 0, 7.974081E-05
C:\Deep-Learning\Finalproject\train\IMG\center_2019_03_25_10_00_20_499.jpg, C:\Deep-Learning\Finalproject\train\IMG\left_2019_03_25_10_00_20_499.jpg, C:\Deep-Learning\Finalproject\train\IMG\right_2019_03_25_10_00_20_499.jpg, 0, 0, 0, 7.797385E-05
